Row Num,Season,Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,PL,Open OU,,Close OU,
2950,2016/2017,1029,66,H,Arizona,1,0,1,2,-120,-112,-1.5(+250),5.5,120,5.5,-110
2951,2016/2017,1029,67,V,Washington,2,1,2,5,-180,-200,-1.5(+150),5,-130,5,-120
2952,2016/2017,1029,68,H,Vancouver,1,1,0,2,160,170,+1.5(-170),5,110,5,100
2953,2016/2017,1029,69,V,Nashville,0,1,0,1,145,140,+1.5(-210),5.5,115,5.5,115
2954,2016/2017,1029,70,H,SanJose,1,2,1,4,-165,-160,-1.5(+180),5.5,-135,5.5,-135
2955,2016/2017,1030,1,V,Buffalo,2,1,0,3,149,145,+1.5(-215),5.5,-101,5.5,115
2956,2016/2017,1030,2,H,Winnipeg,0,0,1,1,-169,-165,-1.5(+185),5.5,-119,5.5,-135
2957,2016/2017,1030,3,V,Florida,3,2,0,5,115,-105,+1.5(-305),5,-125,5,-130
2958,2016/2017,1030,4,H,Detroit,0,1,1,2,-135,-115,-1.5(+245),5,105,5,110
2959,2016/2017,1030,5,V,Philadelphia,1,2,1,4,113,124,+1.5(-245),5.5,104,5.5,110
2960,2016/2017,1030,6,H,Carolina,0,3,0,3,-133,-144,-1.5(+205),5.5,-124,5.5,-130
2961,2016/2017,1030,7,V,Toronto,0,0,1,1,155,164,+1.5(-210),5.5,-104,5.5,-110
2962,2016/2017,1030,8,H,NYIslanders,2,0,3,5,-175,-184,-1.5(+180),5.5,-116,5.5,-110
2963,2016/2017,1030,9,V,TampaBay,0,0,1,1,107,101,+1.5(-275),5,-123,5.5,120
2964,2016/2017,1030,10,H,NYRangers,0,4,2,6,-127,-121,-1.5(+225),5,103,5.5,-140
2965,2016/2017,1030,11,V,LosAngeles,0,0,0,0,145,139,+1.5(-215),5,-130,5,-135
2966,2016/2017,1030,12,H,Chicago,1,1,1,3,-165,-159,-1.5(+185),5,110,5,115
2967,2016/2017,1030,13,V,Ottawa,0,1,1,2,127,130,+1.5(-230),5.5,-125,5.5,-120
2968,2016/2017,1030,14,H,Edmonton,0,0,0,0,-147,-150,-1.5(+190),5.5,105,5.5,100
2969,2016/2017,1030,15,V,Washington,2,0,1,3,-150,-135,-1.5(+225),5.5,105,5,-120
2970,2016/2017,1030,16,H,Calgary,1,0,0,1,130,115,+1.5(-275),5.5,-125,5,100
2971,2016/2017,1101,51,V,St.Louis,0,0,0,0,115,108,+1.5(-270),5.5,105,5,-135
2972,2016/2017,1101,52,H,NYRangers,2,3,0,5,-135,-128,-1.5(+220),5.5,-125,5,115
2973,2016/2017,1101,53,V,Dallas,0,1,1,2,-117,-103,+1.5(-290),5.5,111,5.5,-110
2974,2016/2017,1101,54,H,Columbus,0,1,1,3,-103,-117,-1.5(+230),5.5,-131,5.5,-110
2975,2016/2017,1101,55,V,TampaBay,3,3,0,6,-120,-116,-1.5(+250),5,-111,5.5,115
2976,2016/2017,1101,56,H,NYIslanders,0,1,0,1,100,-104,+1.5(-310),5,-109,5.5,-135
2977,2016/2017,1101,57,V,Edmonton,1,0,1,2,-115,-109,+1.5(-300),5.5,100,5.5,-110
2978,2016/2017,1101,58,H,Toronto,1,1,0,3,-105,-111,-1.5(+240),5.5,-120,5.5,-110
2979,2016/2017,1101,59,V,Boston,1,1,0,2,108,135,+1.5(-230),5.5,100,5,-105
2980,2016/2017,1101,60,H,Florida,0,0,1,1,-128,-155,-1.5(+190),5.5,-120,5,-115
2981,2016/2017,1101,61,V,Carolina,1,0,0,1,133,129,+1.5(-245),5.5,116,5.5,100
2982,2016/2017,1101,62,H,Ottawa,1,0,0,2,-153,-149,-1.5(+205),5.5,-136,5.5,-120
2983,2016/2017,1101,63,V,Washington,1,1,1,3,148,-175,-1.5(+170),5,-130,5,-126
2984,2016/2017,1101,64,H,Winnipeg,0,0,2,2,-168,155,+1.5(-200),5,110,5,106
2985,2016/2017,1101,65,V,Buffalo,1,0,1,2,160,151,+1.5(-210),5,-120,5,-110
2986,2016/2017,1101,66,H,Minnesota,0,1,0,1,-180,-171,-1.5(+180),5,100,5,-110
2987,2016/2017,1101,67,V,Calgary,0,1,0,1,150,140,+1.5(-215),5.5,105,5.5,115
2988,2016/2017,1101,68,H,Chicago,1,0,4,5,-170,-160,-1.5(+185),5.5,-125,5.5,-135
